Voltage,180C,195C,210C
28.2,7.02E-09,3.98E-09,2.84E-09
28.3,6.76E-09,3.85E-09,2.79E-09
28.401,6.54E-09,3.76E-09,2.72E-09
28.5,6.38E-09,3.68E-09,2.67E-09
28.6,6.29E-09,3.63E-09,2.63E-09
28.7,6.25E-09,3.62E-09,2.61E-09
28.8,6.27E-09,3.61E-09,2.58E-09
28.9,6.34E-09,3.64E-09,2.56E-09
29,6.47E-09,3.70E-09,2.59E-09
29.1,6.66E-09,3.78E-09,2.60E-09
29.2,6.89E-09,3.89E-09,2.61E-09
29.3,7.18E-09,4.02E-09,2.65E-09
29.4,7.51E-09,4.19E-09,2.68E-09
29.5,7.89E-09,4.37E-09,2.76E-09
29.6,8.32E-09,4.58E-09,2.83E-09
29.7,8.77E-09,4.82E-09,2.91E-09
29.8,9.30E-09,5.08E-09,3.00E-09
29.9,9.87E-09,5.38E-09,3.11E-09
30,1.05E-08,5.67E-09,3.24E-09
30.101,1.12E-08,5.97E-09,3.38E-09
30.2,1.18E-08,6.31E-09,3.51E-09
30.3,1.25E-08,6.68E-09,3.67E-09
30.4,1.33E-08,7.05E-09,3.83E-09
30.5,1.41E-08,7.38E-09,4.03E-09
30.6,1.49E-08,7.70E-09,4.19E-09
30.7,1.57E-08,8.05E-09,4.37E-09
30.8,1.64E-08,8.35E-09,4.56E-09
30.9,1.71E-08,8.66E-09,4.71E-09
31,1.78E-08,8.92E-09,4.88E-09
31.1,1.83E-08,9.13E-09,5.02E-09
31.2,1.88E-08,9.29E-09,5.11E-09
31.3,1.92E-08,9.41E-09,5.20E-09
31.401,1.95E-08,9.48E-09,5.35E-09
31.5,1.97E-08,9.50E-09,5.39E-09
31.6,1.98E-08,9.50E-09,5.40E-09
31.7,1.98E-08,9.40E-09,5.43E-09
31.801,1.97E-08,9.30E-09,5.46E-09
31.9,1.94E-08,9.16E-09,5.38E-09
32,1.91E-08,8.98E-09,5.38E-09
32.1,1.87E-08,8.74E-09,5.29E-09
32.2,1.83E-08,8.49E-09,5.21E-09
32.3,1.77E-08,8.20E-09,5.13E-09
32.4,1.71E-08,7.91E-09,5.03E-09
32.5,1.65E-08,7.61E-09,4.91E-09
32.6,1.59E-08,7.29E-09,4.81E-09
32.7,1.52E-08,6.98E-09,4.65E-09
32.8,1.45E-08,6.74E-09,4.54E-09
32.9,1.39E-08,6.49E-09,4.37E-09
33,1.33E-08,6.23E-09,4.27E-09
33.101,1.28E-08,6.00E-09,4.13E-09
33.2,1.22E-08,5.82E-09,4.03E-09
33.3,1.18E-08,5.70E-09,3.96E-09
33.4,1.14E-08,5.61E-09,3.90E-09
33.5,1.11E-08,5.53E-09,3.78E-09
33.6,1.09E-08,5.50E-09,3.74E-09
33.7,1.08E-08,5.52E-09,3.72E-09
33.8,1.08E-08,5.58E-09,3.70E-09
33.9,1.08E-08,5.65E-09,3.71E-09
34,1.10E-08,5.82E-09,3.72E-09
34.1,1.12E-08,5.99E-09,3.77E-09
34.2,1.15E-08,6.22E-09,3.79E-09
34.3,1.19E-08,6.47E-09,3.89E-09
34.4,1.23E-08,6.72E-09,3.98E-09
34.5,1.28E-08,7.01E-09,4.08E-09
34.6,1.35E-08,7.31E-09,4.22E-09
34.7,1.42E-08,7.67E-09,4.35E-09
34.801,1.49E-08,8.06E-09,4.50E-09
34.9,1.57E-08,8.49E-09,4.66E-09
35,1.65E-08,8.89E-09,4.85E-09
35.1,1.74E-08,9.35E-09,5.04E-09
35.2,1.84E-08,9.82E-09,5.23E-09
35.3,1.94E-08,1.03E-08,5.45E-09
35.4,2.05E-08,1.08E-08,5.68E-09
35.5,2.15E-08,1.13E-08,5.92E-09
35.6,2.26E-08,1.18E-08,6.15E-09
35.7,2.37E-08,1.23E-08,6.39E-09
35.8,2.48E-08,1.27E-08,6.64E-09
35.9,2.58E-08,1.31E-08,6.84E-09
36,2.67E-08,1.35E-08,7.04E-09
36.1,2.76E-08,1.38E-08,7.21E-09
36.2,2.85E-08,1.40E-08,7.37E-09
36.3,2.91E-08,1.40E-08,7.47E-09
36.4,2.98E-08,1.42E-08,7.57E-09
36.5,3.03E-08,1.42E-08,7.61E-09
36.6,3.05E-08,1.42E-08,7.63E-09
36.7,3.08E-08,1.40E-08,7.62E-09
36.8,3.08E-08,1.38E-08,7.61E-09
36.9,3.07E-08,1.35E-08,7.53E-09
37,3.04E-08,1.32E-08,7.40E-09
37.1,3.00E-08,1.28E-08,7.30E-09
